lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
"""light blue tweed patio sun blocking""","""gray extra wide linen sun block""","""mustard extra wide linen sun block""","""navy chambray wide sun blocking""","""bluish extra wide 84 sun blocking""","""light grey extra wide linen sun block""","""black grey extra wide linen sun block""","""taupe patio farmhouse sun blocking""","""greige patio farmhouse sun blocking""","""black chambray wide sun blocking""","""dark pink extra wide linen sun block""","""white chambray wide sun blocking""","""black and white chambray wide sun blocking""","""light teal extra wide linen sun block"""
"""light blue tweed extra wide black out""","""grayish extra wide linen sun blocking""","""gold extra wide linen sun blocking""","""navy chambray double black out""","""blue extra wide 84 sun blocking""","""light gray extra wide linen sun blocking""","""dark grey extra wide linen sun blocking""","""tan patio farmhouse sun blocking""","""ivory patio farmhouse sun blocking""","""black chambray double black out""","""pink extra wide linen sun blocking""","""white chambray double black out""","""black and white chambray double black out""","""teal extra wide linen sun blocking"""
"""light blue tweed extra wide sun block""","""grey extra wide linen sun blocking""","""yellow extra wide linen sun blocking""","""navy chambray double sun block""","""indigo extra wide 84 sun blocking""","""silver extra wide linen sun blocking""","""charcoal extra wide linen sun blocking""","""beige patio farmhouse sun blocking""","""cream patio farmhouse sun blocking""","""black chambray double sun block""","""light pink extra wide linen sun blocking""","""white chambray double sun block""","""black and white chambray double sun block""","""dark teal extra wide linen sun blocking"""
"""light blue tweed extra wide sun blocking""","""gray extra wide linen sun blocking""","""mustard extra wide linen sun blocking""","""navy chambray double sun blocking""","""denim extra wide 84 sun blocking""","""light grey extra wide linen sun blocking""","""black grey extra wide linen sun blocking""","""light brown patio farmhouse sun blocking""","""off white patio farmhouse sun blocking""","""black chambray double sun blocking""","""dark pink extra wide linen sun blocking""","""white chambray double sun blocking""","""black and white chambray double sun blocking""","""light teal extra wide linen sun blocking"""
"""light blue tweed wide black out""","""grayish extra wide texture black out""","""gold extra wide texture black out""",#,"""bluish extra wide 85 black out""","""light gray extra wide texture black out""","""dark grey extra wide texture black out""","""burlap patio farm house black out""","""natural patio farm house black out""",#,"""pink extra wide texture black out""",#,#,"""teal extra wide texture black out"""
"""light blue tweed wide sun block""","""grey extra wide texture black out""","""yellow extra wide texture black out""",#,"""blue extra wide 85 black out""","""silver extra wide texture black out""","""charcoal extra wide texture black out""","""sand patio farm house black out""","""neutral patio farm house black out""",#,"""light pink extra wide texture black out""",#,#,"""dark teal extra wide texture black out"""
"""light blue tweed wide sun blocking""","""gray extra wide texture black out""","""mustard extra wide texture black out""",#,"""indigo extra wide 85 black out""","""light grey extra wide texture black out""","""black grey extra wide texture black out""","""taupe patio farm house black out""","""greige patio farm house black out""",#,"""dark pink extra wide texture black out""",#,#,"""light teal extra wide texture black out"""
"""light blue tweed double black out""","""grayish extra wide texture sun block""","""gold extra wide texture sun block""",#,"""denim extra wide 85 black out""","""light gray extra wide texture sun block""","""dark grey extra wide texture sun block""","""tan patio farm house black out""","""ivory patio farm house black out""",#,"""pink extra wide texture sun block""",#,#,"""teal extra wide texture sun block"""
"""light blue tweed double sun block""","""grey extra wide texture sun block""","""yellow extra wide texture sun block""",#,"""bluish extra wide 85 sun block""","""silver extra wide texture sun block""","""charcoal extra wide texture sun block""","""beige patio farm house black out""","""cream patio farm house black out""",#,"""light pink extra wide texture sun block""",#,#,"""dark teal extra wide texture sun block"""
"""light blue tweed double sun blocking""","""gray extra wide texture sun block""","""mustard extra wide texture sun block""",#,"""blue extra wide 85 sun block""","""light grey extra wide texture sun block""","""black grey extra wide texture sun block""","""light brown patio farm house black out""","""off white patio farm house black out""",#,"""dark pink extra wide texture sun block""",#,#,"""light teal extra wide texture sun block"""
"""light blue tweed boho black out""","""grayish extra wide texture sun blocking""","""gold extra wide texture sun blocking""",#,"""indigo extra wide 85 sun block""","""light gray extra wide texture sun blocking""","""dark grey extra wide texture sun blocking""","""burlap patio farm house sun block""","""natural patio farm house sun block""",#,"""pink extra wide texture sun blocking""",#,#,"""teal extra wide texture sun blocking"""
"""light blue tweed boho sun block""","""grey extra wide texture sun blocking""","""yellow extra wide texture sun blocking""",#,"""denim extra wide 85 sun block""","""silver extra wide texture sun blocking""","""charcoal extra wide texture sun blocking""","""sand patio farm house sun block""","""neutral patio farm house sun block""",#,"""light pink extra wide texture sun blocking""",#,#,"""dark teal extra wide texture sun blocking"""
"""light blue tweed boho sun blocking""","""gray extra wide texture sun blocking""","""mustard extra wide texture sun blocking""",#,"""bluish extra wide 85 sun blocking""","""light grey extra wide texture sun blocking""","""black grey extra wide texture sun blocking""","""taupe patio farm house sun block""","""greige patio farm house sun block""",#,"""dark pink extra wide texture sun blocking""",#,#,"""light teal extra wide texture sun blocking"""
"""light blue tweed bohemian black out""","""grayish extra wide tweed black out""","""gold extra wide tweed black out""",#,"""blue extra wide 85 sun blocking""","""light gray extra wide tweed black out""","""dark grey extra wide tweed black out""","""tan patio farm house sun block""","""ivory patio farm house sun block""",#,"""pink extra wide tweed black out""",#,#,"""teal extra wide tweed black out"""
"""light blue tweed bohemian sun block""","""grey extra wide tweed black out""","""yellow extra wide tweed black out""",#,"""indigo extra wide 85 sun blocking""","""silver extra wide tweed black out""","""charcoal extra wide tweed black out""","""beige patio farm house sun block""","""cream patio farm house sun block""",#,"""light pink extra wide tweed black out""",#,#,"""dark teal extra wide tweed black out"""
"""light blue tweed bohemian sun blocking""","""gray extra wide tweed black out""","""mustard extra wide tweed black out""",#,"""denim extra wide 85 sun blocking""","""light grey extra wide tweed black out""","""black grey extra wide tweed black out""","""light brown patio farm house sun block""","""off white patio farm house sun block""",#,"""dark pink extra wide tweed black out""",#,#,"""light teal extra wide tweed black out"""
"""light blue chambray patio black out""","""grayish extra wide tweed sun block""","""gold extra wide tweed sun block""",#,"""bluish extra wide 86 black out""","""light gray extra wide tweed sun block""","""dark grey extra wide tweed sun block""","""burlap patio farm house sun blocking""","""natural patio farm house sun blocking""",#,"""pink extra wide tweed sun block""",#,#,"""teal extra wide tweed sun block"""
"""light blue chambray patio sun block""","""grey extra wide tweed sun block""","""yellow extra wide tweed sun block""",#,"""blue extra wide 86 black out""","""silver extra wide tweed sun block""","""charcoal extra wide tweed sun block""","""sand patio farm house sun blocking""","""neutral patio farm house sun blocking""",#,"""light pink extra wide tweed sun block""",#,#,"""dark teal extra wide tweed sun block"""
"""light blue chambray patio sun blocking""","""gray extra wide tweed sun block""","""mustard extra wide tweed sun block""",#,"""indigo extra wide 86 black out""","""light grey extra wide tweed sun block""","""black grey extra wide tweed sun block""","""taupe patio farm house sun blocking""","""greige patio farm house sun blocking""",#,"""dark pink extra wide tweed sun block""",#,#,"""light teal extra wide tweed sun block"""
"""light blue chambray extra wide black out""","""grayish extra wide tweed sun blocking""","""gold extra wide tweed sun blocking""",#,"""denim extra wide 86 black out""","""light gray extra wide tweed sun blocking""","""dark grey extra wide tweed sun blocking""","""tan patio farm house sun blocking""","""ivory patio farm house sun blocking""",#,"""pink extra wide tweed sun blocking""",#,#,"""teal extra wide tweed sun blocking"""
"""light blue chambray extra wide sun block""","""grey extra wide tweed sun blocking""","""yellow extra wide tweed sun blocking""",#,"""bluish extra wide 86 sun block""","""silver extra wide tweed sun blocking""","""charcoal extra wide tweed sun blocking""","""beige patio farm house sun blocking""","""cream patio farm house sun blocking""",#,"""light pink extra wide tweed sun blocking""",#,#,"""dark teal extra wide tweed sun blocking"""
"""light blue chambray extra wide sun blocking""","""gray extra wide tweed sun blocking""","""mustard extra wide tweed sun blocking""",#,"""blue extra wide 86 sun block""","""light grey extra wide tweed sun blocking""","""black grey extra wide tweed sun blocking""","""light brown patio farm house sun blocking""","""off white patio farm house sun blocking""",#,"""dark pink extra wide tweed sun blocking""",#,#,"""light teal extra wide tweed sun blocking"""
"""light blue chambray wide black out""","""grayish extra wide chambray black out""","""gold extra wide chambray black out""",#,"""indigo extra wide 86 sun block""","""light gray extra wide chambray black out""","""dark grey extra wide chambray black out""","""burlap patio semi sheer black out""","""natural patio semi sheer black out""",#,"""pink extra wide chambray black out""",#,#,"""teal extra wide chambray black out"""
"""light blue chambray wide sun block""","""grey extra wide chambray black out""","""yellow extra wide chambray black out""",#,"""denim extra wide 86 sun block""","""silver extra wide chambray black out""","""charcoal extra wide chambray black out""","""sand patio semi sheer black out""","""neutral patio semi sheer black out""",#,"""light pink extra wide chambray black out""",#,#,"""dark teal extra wide chambray black out"""
"""light blue chambray wide sun blocking""","""gray extra wide chambray black out""","""mustard extra wide chambray black out""",#,"""bluish extra wide 86 sun blocking""","""light grey extra wide chambray black out""","""black grey extra wide chambray black out""","""taupe patio semi sheer black out""","""greige patio semi sheer black out""",#,"""dark pink extra wide chambray black out""",#,#,"""light teal extra wide chambray black out"""
"""light blue chambray double black out""","""grayish extra wide chambray sun block""","""gold extra wide chambray sun block""",#,"""blue extra wide 86 sun blocking""","""light gray extra wide chambray sun block""","""dark grey extra wide chambray sun block""","""tan patio semi sheer black out""","""ivory patio semi sheer black out""",#,"""pink extra wide chambray sun block""",#,#,"""teal extra wide chambray sun block"""
"""light blue chambray double sun block""","""grey extra wide chambray sun block""","""yellow extra wide chambray sun block""",#,"""indigo extra wide 86 sun blocking""","""silver extra wide chambray sun block""","""charcoal extra wide chambray sun block""","""beige patio semi sheer black out""","""cream patio semi sheer black out""",#,"""light pink extra wide chambray sun block""",#,#,"""dark teal extra wide chambray sun block"""
"""light blue chambray double sun blocking""","""gray extra wide chambray sun block""","""mustard extra wide chambray sun block""",#,"""denim extra wide 86 sun blocking""","""light grey extra wide chambray sun block""","""black grey extra wide chambray sun block""","""light brown patio semi sheer black out""","""off white patio semi sheer black out""",#,"""dark pink extra wide chambray sun block""",#,#,"""light teal extra wide chambray sun block"""
#,"""grayish extra wide chambray sun blocking""","""gold extra wide chambray sun blocking""",#,"""bluish extra wide 95 black out""","""light gray extra wide chambray sun blocking""","""dark grey extra wide chambray sun blocking""","""burlap patio semi sheer sun block""","""natural patio semi sheer sun block""",#,"""pink extra wide chambray sun blocking""",#,#,"""teal extra wide chambray sun blocking"""
#,"""grey extra wide chambray sun blocking""","""yellow extra wide chambray sun blocking""",#,"""blue extra wide 95 black out""","""silver extra wide chambray sun blocking""","""charcoal extra wide chambray sun blocking""","""sand patio semi sheer sun block""","""neutral patio semi sheer sun block""",#,"""light pink extra wide chambray sun blocking""",#,#,"""dark teal extra wide chambray sun blocking"""
#,"""gray extra wide chambray sun blocking""","""mustard extra wide chambray sun blocking""",#,"""indigo extra wide 95 black out""","""light grey extra wide chambray sun blocking""","""black grey extra wide chambray sun blocking""","""taupe patio semi sheer sun block""","""greige patio semi sheer sun block""",#,"""dark pink extra wide chambray sun blocking""",#,#,"""light teal extra wide chambray sun blocking"""
#,"""grayish extra wide ring top black out""","""gold extra wide ring top black out""",#,"""denim extra wide 95 black out""","""light gray extra wide ring top black out""","""dark grey extra wide ring top black out""","""tan patio semi sheer sun block""","""ivory patio semi sheer sun block""",#,"""pink extra wide ring top black out""",#,#,"""teal extra wide ring top black out"""
#,"""grey extra wide ring top black out""","""yellow extra wide ring top black out""",#,"""bluish extra wide 95 sun block""","""silver extra wide ring top black out""","""charcoal extra wide ring top black out""","""beige patio semi sheer sun block""","""cream patio semi sheer sun block""",#,"""light pink extra wide ring top black out""",#,#,"""dark teal extra wide ring top black out"""
#,"""gray extra wide ring top black out""","""mustard extra wide ring top black out""",#,"""blue extra wide 95 sun block""","""light grey extra wide ring top black out""","""black grey extra wide ring top black out""","""light brown patio semi sheer sun block""","""off white patio semi sheer sun block""",#,"""dark pink extra wide ring top black out""",#,#,"""light teal extra wide ring top black out"""
