lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
[light blue grommet 97 inch drapery],[grayish grommet 95 inch window curtain],[gold grommet 95 inch window curtain],[navy grommet 97 inch drapery],[bluish grommet 95 inch panel],[light gray grommet 95 inch window curtain],[dark grey grommet 95 inch window curtain],[burlap grommet 95 inch drapery],[natural grommet 95 inch drapery],[black grommet 97 inch drapery],[pink grommet 95 inch window curtain],[white grommet 97 inch drapery],[black and white grommet 97 inch drapery],[teal grommet 95 inch window curtain]
[light blue grommet 97 inch panel],[grey grommet 95 inch window curtain],[yellow grommet 95 inch window curtain],[navy grommet 97 inch panel],[blue grommet 95 inch panel],[silver grommet 95 inch window curtain],[charcoal grommet 95 inch window curtain],[sand grommet 95 inch drapery],[neutral grommet 95 inch drapery],[black grommet 97 inch panel],[light pink grommet 95 inch window curtain],[white grommet 97 inch panel],[black and white grommet 97 inch panel],[dark teal grommet 95 inch window curtain]
[light blue grommet 97 inch window curtain],[gray grommet 95 inch window curtain],[mustard grommet 95 inch window curtain],[navy grommet 97 inch window curtain],[indigo grommet 95 inch panel],[light grey grommet 95 inch window curtain],[black grey grommet 95 inch window curtain],[taupe grommet 95 inch drapery],[greige grommet 95 inch drapery],[black grommet 97 inch window curtain],[dark pink grommet 95 inch window curtain],[white grommet 97 inch window curtain],[black and white grommet 97 inch window curtain],[light teal grommet 95 inch window curtain]
[coastal 95 inch curtain],[grayish grommet 96 inch curtain],[gold grommet 96 inch curtain],[navy boho 95 inch curtain],[denim grommet 95 inch panel],[light gray grommet 96 inch curtain],[dark grey grommet 96 inch curtain],[tan grommet 95 inch drapery],[ivory grommet 95 inch drapery],[black boho 95 inch curtain],[pink grommet 96 inch curtain],[white boho 95 inch curtain],[black and white boho 95 inch curtain],[teal grommet 96 inch curtain]
[coastal 95 inch drape],[grey grommet 96 inch curtain],[yellow grommet 96 inch curtain],[navy boho 95 inch drape],[bluish grommet 95 inch window curtain],[silver grommet 96 inch curtain],[charcoal grommet 96 inch curtain],[beige grommet 95 inch drapery],[cream grommet 95 inch drapery],[black boho 95 inch drape],[light pink grommet 96 inch curtain],[white boho 95 inch drape],[black and white boho 95 inch drape],[dark teal grommet 96 inch curtain]
[coastal 95 inch drapery],[gray grommet 96 inch curtain],[mustard grommet 96 inch curtain],[navy boho 95 inch drapery],[blue grommet 95 inch window curtain],[light grey grommet 96 inch curtain],[black grey grommet 96 inch curtain],[light brown grommet 95 inch drapery],[off white grommet 95 inch drapery],[black boho 95 inch drapery],[dark pink grommet 96 inch curtain],[white boho 95 inch drapery],[black and white boho 95 inch drapery],[light teal grommet 96 inch curtain]
[coastal 95 inch panel],[grayish grommet 96 inch drape],[gold grommet 96 inch drape],[navy boho 95 inch panel],[indigo grommet 95 inch window curtain],[light gray grommet 96 inch drape],[dark grey grommet 96 inch drape],[burlap grommet 95 inch panel],[natural grommet 95 inch panel],[black boho 95 inch panel],[pink grommet 96 inch drape],[white boho 95 inch panel],[black and white boho 95 inch panel],[teal grommet 96 inch drape]
[coastal 95 inch window curtain],[grey grommet 96 inch drape],[yellow grommet 96 inch drape],[navy boho 95 inch window curtain],[denim grommet 95 inch window curtain],[silver grommet 96 inch drape],[charcoal grommet 96 inch drape],[sand grommet 95 inch panel],[neutral grommet 95 inch panel],[black boho 95 inch window curtain],[light pink grommet 96 inch drape],[white boho 95 inch window curtain],[black and white boho 95 inch window curtain],[dark teal grommet 96 inch drape]
[coastal 96 inch curtain],[gray grommet 96 inch drape],[mustard grommet 96 inch drape],[navy boho 96 inch curtain],[bluish grommet 96 inch curtain],[light grey grommet 96 inch drape],[black grey grommet 96 inch drape],[taupe grommet 95 inch panel],[greige grommet 95 inch panel],[black boho 96 inch curtain],[dark pink grommet 96 inch drape],[white boho 96 inch curtain],[black and white boho 96 inch curtain],[light teal grommet 96 inch drape]
[coastal 96 inch drape],[grayish grommet 96 inch drapery],[gold grommet 96 inch drapery],[navy boho 96 inch drape],[blue grommet 96 inch curtain],[light gray grommet 96 inch drapery],[dark grey grommet 96 inch drapery],[tan grommet 95 inch panel],[ivory grommet 95 inch panel],[black boho 96 inch drape],[pink grommet 96 inch drapery],[white boho 96 inch drape],[black and white boho 96 inch drape],[teal grommet 96 inch drapery]
[coastal 96 inch drapery],[grey grommet 96 inch drapery],[yellow grommet 96 inch drapery],[navy boho 96 inch drapery],[indigo grommet 96 inch curtain],[silver grommet 96 inch drapery],[charcoal grommet 96 inch drapery],[beige grommet 95 inch panel],[cream grommet 95 inch panel],[black boho 96 inch drapery],[light pink grommet 96 inch drapery],[white boho 96 inch drapery],[black and white boho 96 inch drapery],[dark teal grommet 96 inch drapery]
[coastal 96 inch panel],[gray grommet 96 inch drapery],[mustard grommet 96 inch drapery],[navy boho 96 inch panel],[denim grommet 96 inch curtain],[light grey grommet 96 inch drapery],[black grey grommet 96 inch drapery],[light brown grommet 95 inch panel],[off white grommet 95 inch panel],[black boho 96 inch panel],[dark pink grommet 96 inch drapery],[white boho 96 inch panel],[black and white boho 96 inch panel],[light teal grommet 96 inch drapery]
[coastal 96 inch window curtain],[grayish grommet 96 inch panel],[gold grommet 96 inch panel],[navy boho 96 inch window curtain],[bluish grommet 96 inch drape],[light gray grommet 96 inch panel],[dark grey grommet 96 inch panel],[burlap grommet 95 inch window curtain],[natural grommet 95 inch window curtain],[black boho 96 inch window curtain],[pink grommet 96 inch panel],[white boho 96 inch window curtain],[black and white boho 96 inch window curtain],[teal grommet 96 inch panel]
[coastal 97 inch curtain],[grey grommet 96 inch panel],[yellow grommet 96 inch panel],[navy boho 97 inch curtain],[blue grommet 96 inch drape],[silver grommet 96 inch panel],[charcoal grommet 96 inch panel],[sand grommet 95 inch window curtain],[neutral grommet 95 inch window curtain],[black boho 97 inch curtain],[light pink grommet 96 inch panel],[white boho 97 inch curtain],[black and white boho 97 inch curtain],[dark teal grommet 96 inch panel]
[coastal 97 inch drape],[gray grommet 96 inch panel],[mustard grommet 96 inch panel],[navy boho 97 inch drape],[indigo grommet 96 inch drape],[light grey grommet 96 inch panel],[black grey grommet 96 inch panel],[taupe grommet 95 inch window curtain],[greige grommet 95 inch window curtain],[black boho 97 inch drape],[dark pink grommet 96 inch panel],[white boho 97 inch drape],[black and white boho 97 inch drape],[light teal grommet 96 inch panel]
[coastal 97 inch drapery],[grayish grommet 96 inch window curtain],[gold grommet 96 inch window curtain],[navy boho 97 inch drapery],[denim grommet 96 inch drape],[light gray grommet 96 inch window curtain],[dark grey grommet 96 inch window curtain],[tan grommet 95 inch window curtain],[ivory grommet 95 inch window curtain],[black boho 97 inch drapery],[pink grommet 96 inch window curtain],[white boho 97 inch drapery],[black and white boho 97 inch drapery],[teal grommet 96 inch window curtain]
[coastal 97 inch panel],[grey grommet 96 inch window curtain],[yellow grommet 96 inch window curtain],[navy boho 97 inch panel],[bluish grommet 96 inch drapery],[silver grommet 96 inch window curtain],[charcoal grommet 96 inch window curtain],[beige grommet 95 inch window curtain],[cream grommet 95 inch window curtain],[black boho 97 inch panel],[light pink grommet 96 inch window curtain],[white boho 97 inch panel],[black and white boho 97 inch panel],[dark teal grommet 96 inch window curtain]
[coastal 97 inch window curtain],[gray grommet 96 inch window curtain],[mustard grommet 96 inch window curtain],[navy boho 97 inch window curtain],[blue grommet 96 inch drapery],[light grey grommet 96 inch window curtain],[black grey grommet 96 inch window curtain],[light brown grommet 95 inch window curtain],[off white grommet 95 inch window curtain],[black boho 97 inch window curtain],[dark pink grommet 96 inch window curtain],[white boho 97 inch window curtain],[black and white boho 97 inch window curtain],[light teal grommet 96 inch window curtain]
[light blue boho 95 inch curtain],[grayish grommet 97 inch curtain],[gold grommet 97 inch curtain],[navy bohemian 95 inch curtain],[indigo grommet 96 inch drapery],[light gray grommet 97 inch curtain],[dark grey grommet 97 inch curtain],[burlap grommet 96 inch curtain],[natural grommet 96 inch curtain],[black bohemian 95 inch curtain],[pink grommet 97 inch curtain],[white bohemian 95 inch curtain],[black and white bohemian 95 inch curtain],[teal grommet 97 inch curtain]
